latitude,longitude,street_num,street_name,city,province,postal_code
51.1374532,-114.2093164,117,100 Arbour Crest Mews NW,Calgary,Alberta,T3G 4L3
51.2747609,-114.0283903,116,100 Bayside Landing SW,Airdrie,Alberta,T4B 3Y2
50.937349,-114.0854018,100,100 Candle Place SW,Calgary,Alberta,T2W 3J7
50.8825463,-113.9624708,210,200 Auburn Bay Cove SE,Calgary,Alberta,T3M 0A6
42.9777682,-79.2542077,76,6th Street,Welland,Ontario,L3B 3L1
44.3203595,-80.6523137,19,A Street,Grey Highlands,Ontario,N0C 1H0
48.4231641,-89.2489848,124,Academy Drive,Thunder Bay,Ontario,P7B 2E4
52.2443052,-113.7759277,118,Ackerman Crescent,Red Deer,Alberta,T4R 3N7
43.6387745,-79.5393635,41,Acorn Avenue,Toronto,Ontario,M9B 1A9
52.2425347,-113.7682096,73,Addington Drive,Red Deer,Alberta,T4R 3N7
43.9104354,-78.8438712,630,Adelaide Avenue East,Oshawa,Ontario,L1G 6L4
46.5236375,-84.3117109,51,Albion Street,Sault Ste. Marie,Ontario,P6B 3N9
43.2166961,-79.7853078,52,Albright Road,Hamilton,Ontario,L8K 3E5
43.593108,-79.5423694,14,Alcan Avenue,Toronto,Ontario,M8W 3S3
43.2060628,-79.8553266,12,Alconbury Drive,Hamilton,Ontario,L8W 1C4
46.5425506,-84.3900744,41,Alden Road,Sault Ste. Marie,Ontario,P6C 5A7
43.7115823,-79.7016467,3,Alderbury Crescent,Brampton,Ontario,L6T 2Y9
43.2381659,-79.9624936,873,Alexander Road,Hamilton,Ontario,L9G 3J4
43.3297838,-79.8081612,1413,Alfred Crescent,Burlington,Ontario,L7R 2J4
43.9102923,-79.2495559,245,Alfred Paterson Drive,Markham,Ontario,L6E 2G1
45.0146332,-75.6494819,3,Alfred Street,North Grenville,Ontario,K0G 1J0
43.5780796,-80.2552496,8,Algoma Drive,Guelph,Ontario,N1E 5H5
43.6633879,-79.7786229,1,Allegro Drive,Brampton,Ontario,L6Y 5B6
43.7375061,-79.440789,85,Allingham Gardens,Toronto,Ontario,M3H 2Z1
43.8751471,-79.4735845,38,Allison Ann Way,Vaughan,Ontario,L6A 4K5
45.3747912,-75.7761105,193,Allison Avenue,Ottawa,Ontario,K2B 6R1
44.9042932,-75.1738501,51,Allison Avenue,South Dundas,Ontario,K0C 1X0
43.199951,-79.8902894,75,Allison Crescent,Hamilton,Ontario,L9B 1K9
43.7275926,-79.2364433,44,Allister Avenue,Toronto,Ontario,M1M 1V3
43.8016913,-79.5705773,32,Alliston Road,Vaughan,Ontario,L4L 3W4
43.8026417,-79.570948,66,Alliston Road,Vaughan,Ontario,L4L 3W4
46.4896416,-80.9217091,32,Alliston Street,Sudbury,Ontario,P3B 1T7
43.6912378,-79.8453713,13,Allium Road,Brampton,Ontario,L6P 1A1
45.4408538,-75.4882651,28,Allium Street,Ottawa,Ontario,K4A 0Z3
43.1615087,-81.6825829,101,Allness Street,North Middlesex,Ontario,N0M 2K0
43.6452769,-79.5760944,67,Allonsius Drive,Toronto,Ontario,M9C 3G6
43.8386724,-79.5126957,43,Alloway Place,Vaughan,Ontario,L4K 2N8
52.2451321,-113.7867707,16,Allsop Close,Red Deer,Alberta,T4R 3H3
44.3401029,-79.7229797,56,Allsop Crescent,Barrie,Ontario,L4N 8V7
43.8553301,-79.3693416,140,Allstate Parkway,Markham,Ontario,L3R 5Y8
43.3138563,-79.8125722,536,Allview Avenue,Burlington,Ontario,L7S 2L8
43.3138648,-79.8125757,538,Allview Avenue,Burlington,Ontario,L7S 2L8
43.9317298,-78.693297,48,Allworth Crescent,Clarington,Ontario,L1C 5B8
52.2402081,-113.7765236,21,Allwright Close,Red Deer,Alberta,T4R 3N7
45.2616663,-75.822179,208,Alma Court,Ottawa,Ontario,K2M 2Z2
43.6919468,-79.5194172,21,Alma Drive,Toronto,Ontario,M9P 1E9
